NAME;SECTOR;Country;REUTERS_CODE;YAHOO_CODE
Aristocrat Leisure;Consumer Discretionary;AUS;ALL.AX;ALL.AX
Amcor;Materials;AUS;AMC.AX;AMC.AX
ANZ Banking Group;Financials;AUS;ANZ.AX;ANZ.AX
APA Group;Utilities;AUS;APA.AX;APA.AX
Afterpay;Information Technology;AUS;APT.AX;APT.AX
ASX;Financials;AUS;ASX.AX;ASX.AX
BHP;Materials;AUS;BHP.AX;BHP.AX
BlueScope;Materials;AUS;BSL.AX;BSL.AX
Brambles;Industrials;AUS;BXB.AX;BXB.AX
Commonwealth Bank;Financials;AUS;CBA.AX;CBA.AX
Cochlear;Health Care;AUS;COH.AX;COH.AX
Coles Group;Consumer Staples;AUS;COL.AX;COL.AX
CSL;Health Care;AUS;CSL.AX;CSL.AX
Dexus;Real Estate;AUS;DXS.AX;DXS.AX
Endeavour Group;Consumer Staples;AUS;EDV.AX;EDV.AX
Fortescue Metals Group;Materials;AUS;FMG.AX;FMG.AX
Fisher & Paykel Healthcare;Health Care;AUS;FPH.AX;FPH.AX
Goodman Group;Real Estate;AUS;GMG.AX;GMG.AX
Insurance Australia Group;Financials;AUS;IAG.AX;IAG.AX
James Hardie;Materials;AUS;JHX.AX;JHX.AX
Magellan Global Fund;Financials;AUS;MGOC.AX;MGOC.AX
Mirvac;Real Estate;AUS;MGR.AX;MGR.AX
Mineral Resources;Materials;AUS;MIN.AX;MIN.AX
Macquarie Group;Financials;AUS;MQG.AX;MQG.AX
National Australia Bank;Financials;AUS;NAB.AX;NAB.AX
Newcrest Mining;Materials;AUS;NCM.AX;NCM.AX
Northern Star Resources;Materials;AUS;NST.AX;NST.AX
QBE Insurance;Financials;AUS;QBE.AX;QBE.AX
REA Group;Communication Services;AUS;REA.AX;REA.AX
Reece Group;Industrials;AUS;REH.AX;REH.AX
Ramsay Health Care;Health Care;AUS;RHC.AX;RHC.AX
Rio Tinto;Materials;AUS;RIO.AX;RIO.AX
ResMed;Health Care;AUS;RMD.AX;RMD.AX
South32;Materials;AUS;S32.AX;S32.AX
Scentre Group;Real Estate;AUS;SCG.AX;SCG.AX
Seek;Communication Services;AUS;SEK.AX;SEK.AX
Stockland;Real Estate;AUS;SGP.AX;SGP.AX
Sonic Healthcare;Health Care;AUS;SHL.AX;SHL.AX
Santos;Energy;AUS;STO.AX;STO.AX
Suncorp Group;Financials;AUS;SUN.AX;SUN.AX
Sydney Airport Holdings;Industrials;AUS;SYD.AX;SYD.AX
Tabcorp;Consumer Discretionary;AUS;TAH.AX;TAH.AX
Transurban;Industrials;AUS;TCL.AX;TCL.AX
Telstra;Telecommunications Services;AUS;TLS.AX;TLS.AX
TPG Telecom;Communication Services;AUS;TPG.AX;TPG.AX
Westpac;Financials;AUS;WBC.AX;WBC.AX
Wesfarmers;Consumer Discretionary;AUS;WES.AX;WES.AX
Woolworths;Consumer Staples;AUS;WOW.AX;WOW.AX
Woodside Petroleum;Energy;AUS;WPL.AX;WPL.AX
Xero;Information Technology;AUS;XRO.AX;XRO.AX
